2025-07-22 10:03:07 | INFO     | root | [INIT] Logging system initialized
2025-07-22 10:03:07 | INFO     | __main__ | [START] Starting Bybit Trading Bot server...
2025-07-22 10:03:07 | INFO     | root | [INIT] Logging system initialized
2025-07-22 10:03:07 | INFO     | backend.main | [START] Bybit Trading Bot starting up...
2025-07-22 10:03:07 | INFO     | backend.integrations.bybit_client | 🔗 Initializing Bybit client...
2025-07-22 10:03:07 | INFO     | backend.integrations.bybit_client | ✅ Connected to Bybit demo account (real prices, virtual money)
2025-07-22 10:03:07 | INFO     | backend.core.market_analyzer | 🔍 Market Analyzer initialized
2025-07-22 10:03:07 | INFO     | backend.core.market_analyzer | 🔍 Market Analyzer initialized
2025-07-22 10:03:07 | INFO     | backend.core.enhanced_signal_processor | 🔧 Enhanced Signal Processor initialized with weighted filtering
2025-07-22 10:03:07 | INFO     | backend.core.market_analyzer | 🔍 Market Analyzer initialized
2025-07-22 10:03:07 | INFO     | backend.core.enhanced_risk_manager | 🛡️ Enhanced Risk Manager initialized with trailing stops
2025-07-22 10:03:07 | INFO     | backend.core.market_analyzer | 🔍 Market Analyzer initialized
2025-07-22 10:03:07 | INFO     | backend.core.enhanced_signal_processor | 🔧 Enhanced Signal Processor initialized with weighted filtering
2025-07-22 10:03:07 | INFO     | backend.core.market_analyzer | 🔍 Market Analyzer initialized
2025-07-22 10:03:07 | INFO     | backend.core.market_analyzer | 🔍 Market Analyzer initialized
2025-07-22 10:03:07 | INFO     | backend.core.enhanced_risk_manager | 🛡️ Enhanced Risk Manager initialized with trailing stops
2025-07-22 10:03:07 | INFO     | backend.core.strategy_manager | 🎯 StrategyManager инициализирован с режимом: medium
2025-07-22 10:03:07 | INFO     | backend.core.strategy_manager | 🔧 Улучшенные функции: ВКЛЮЧЕНЫ
2025-07-22 10:03:07 | INFO     | backend.core.market_analyzer | 🔍 Market Analyzer initialized
2025-07-22 10:03:07 | INFO     | backend.core.enhanced_signal_processor | 🔧 Enhanced Signal Processor initialized with weighted filtering
2025-07-22 10:03:07 | INFO     | backend.core.market_analyzer | 🔍 Market Analyzer initialized
2025-07-22 10:03:07 | INFO     | backend.core.market_analyzer | 🔍 Market Analyzer initialized
2025-07-22 10:03:07 | INFO     | backend.core.enhanced_risk_manager | 🛡️ Enhanced Risk Manager initialized with trailing stops
2025-07-22 10:03:07 | INFO     | backend.core.strategy_manager | 🎯 StrategyManager инициализирован с режимом: medium
2025-07-22 10:03:07 | INFO     | backend.core.strategy_manager | 🔧 Улучшенные функции: ВКЛЮЧЕНЫ
2025-07-22 10:03:07 | INFO     | backend.main | [WS] WebSocket логирование настроено
2025-07-22 10:03:07 | INFO     | backend.main | [TASK] Фоновая задача broadcast_live_data запущена
2025-07-22 10:03:07 | INFO     | backend.main | [OK] Trading Bot with Phase 1 Enhancements initialized successfully
